product_availability,product_average_rating,product_brand,product_features,product_image,product_name,product_price,product_shipping
In stock.,Not Available,REDUX,"Day and date display,Watch strap colour : blue, watch strap material : leather, case shape-round,Suitable for party wedding, formal and casual occasion,Manufacturing warranty also,Works on Japanese quartz movement",https://images-na.ssl-images-amazon.com/images/I/81BDpSIwu3L._UL1500_.jpg,Redux Analogue Blue Dial Men’s & Boy's Watch RWS0216S,285.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial Color: Black, Case Shape: Round,Band Color: Black, Band Material: Silicone,Watch Movement Type: Quartz, Watch Display Type: Analog-Digital,Case Material: Plastic, Case Diameter: 55 millimeters,6 months manufacturer warranty on manufacturing defects,164 ft waterproof (50 M) - 5ATM water resistant, NOTE: please DO NOT press any buttons in the water",https://images-na.ssl-images-amazon.com/images/I/71BfsR4Ld9L._UL1500_.jpg,SKMEI Analog Digital Quartz Men's Watch with Silicone Strap - AD1155,375.00,FREE Delivery
In stock.,Not Available,BEARDO,,https://images-na.ssl-images-amazon.com/images/I/8199%2B8E8qoL._UL1500_.jpg,BEARDO Analogue Men's & Boys' Watch (Assorted Dial Assorted Colored Strap) (Pack of 6),549.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial Color: Blue, Case Shape: Round, Dial Glass Material: Glass,Band Color: Black, Band Material: Rubber ; Function: 3 Time, Chrono, Alarm, Date, Week, EL, 12/24 Hour Clock, Count ; Band: PU, Buckle: Stainless Steel,Watch Movement Type: Quartz, Watch Display Type: Analog-Digital,Case Material: Stainless Steel, Case Diameter: 46 millimeters,Water Resistance Depth: Mild Resistance, Not for Swimming meters, Watch Movement Type: Quartz, Watch Display Type: Analog-Digital,6 months manufacturer warranty on manufacturing defects",https://images-na.ssl-images-amazon.com/images/I/61bTR1wJ9dL._UL1100_.jpg,SKMEI Analogue - Digital Black Dial Men's & Boys' Watch,410.00,FREE Delivery
In stock.,Not Available,SWADESI STUFF,"Dial Colour: Black | Case Material: Rubber | Sports Digital Army Watch,Alarm Function | Stopwatch Stag Timekeeping Function | Night Light | Back Light,Standard Display : Hour, Minute, Second, Month, Date, Week | 7 Different Light Options Available,All Product Is Genuinely Tested Before Dispatching. Add This to Your Collection to Exquisite & Elegant Watches.,Warranty: Six Months Warranty on Manufacturing Defect | A Perfect Gift for Kids, Friends, Families, Lovers etc.",https://images-na.ssl-images-amazon.com/images/I/71tF6JBQFUL._UL1500_.jpg,SWADESI STUFF Digital Multicolour Dial Boys' Watch,299.00,FREE Delivery
In stock.,Not Available,SKMEI,"Original Skmei Brand Sports Watch Suitable for Men as well as Kids ( Kindly check the dimensions to ensure it fits on the kids' wrist),Original Japanese Quartz Movement: provide precise and accurate time keeping,Dial Diameter: 50mm; Case Thickness: 17mm; Band Width: 22mm; Wristband Length: 250mm,Auto Date,Perpetual Calendar,Diver,Rattrapante,Moon Phase,Alarm,Chronograph,Water Resistant,Complete Calendar,Multiple Time Zone,Luminous,LED display,Shock Resistant,Back Light,50 Meters Water Resistant(Please Don't Press Any Keys Underwater)",,SKMEI Digital Men's Watch,380.00,FREE Delivery
In stock.,Not Available,SWISSTONE,"Dial Color: Pink Case Color: Silver,Strap Type: Ionised Silver plated Bracelet,Strap Width: 8mm,Package Contents: 1 Wrist Watch & Warranty Card,Warranty Summary: 1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.",https://images-na.ssl-images-amazon.com/images/I/817iC5Eq49L._UL1500_.jpg,SWISSTONE Analogue Women's Watch (Pink Dial SIlver Colored Strap),449.00,FREE Delivery
In stock.,Not Available,JAGER,"Dial color: BLACK | Band color: BLACK,Watch Display Type: Analogue,Dial Shape: Round | Beautiful Display,All Product Is Genuinely Tested Before Dispatching,Add This to Your Collection to Exquisite & Elegant Watches. Buy One Now, Only LIMITED TIME PIECES Available!",https://images-na.ssl-images-amazon.com/images/I/71Gy-f3tb0L._UL1500_.jpg,JAGER Analogue Men's Watch (Black Dial Black Colored Strap),249.00,FREE Delivery
In stock.,Not Available,BRAND GALLERY,"Strap colour : borwn, strap material : leather,Dial colour : white,Analog Display,Suitable for party wedding, formal and casual occasion,1 year manufacturing warranty card also,Works on Japanese quartz movement",https://images-na.ssl-images-amazon.com/images/I/619cnbXdoaL._UL1100_.jpg,BRAND GALLERY Analogue Men's & Boys' Watch (Silver Dial Brown Colored Strap),195.00,FREE Delivery
In stock.,Not Available,Titan,"Dial Color: Black, Case Shape: Round, Dial Glass material: Mineral,Band Color: Silver, Band Material: Stainless Steel,Watch Movement Type: Quartz, Watch Display Type: Analog,Case Diameter :37.25 Millimeters , Case Material: Stainless Steel. Case Thickness-7.55 mm. Case Width(3H-9H)- 35 mm. Case Length(6H-12H)-41.50 mm,Water Resistance Depth: 50 meters,Warranty type:Manufacturer; 2 Years Manufacturer Warranty",https://images-na.ssl-images-amazon.com/images/I/811QvBjEnVL._UL1500_.jpg,Titan Youth Analog Black Dial Women's Watch -NL2480SM02,595.00,FREE Delivery
